,team_owner_id,team_name,wins,losses,draws,total_points,total_points_against,ppg,pag,net_rating,regular_season_standing,final_season_standing,made_playoffs,made_finals,won_finals,acquisitions,drops,injured_reserve_count,moves,trades,season_start_year,league_name,league_id
0,9,"Dow, Thanks For CJ",9,3,0,1433.5,1245.5,119.5,103.8,15,0,1,True,True,True,0,0,0,0,0,2009,Norton,3
1,10,Look At My TD'S,7,5,0,1242.5,1122.0,103.5,93.5,10,0,2,True,True,False,0,0,0,0,0,2009,Norton,3
2,1,LETS GO PACKERS!!,7,5,0,1208.5,1264.5,100.7,105.4,-4,0,3,True,False,False,0,0,0,0,0,2009,Norton,3
3,7,Deangelo gives me daps,7,5,0,1310.5,1222.5,109.2,101.9,7,0,4,True,False,False,0,0,0,0,0,2009,Norton,3
4,19,Forgetting Brand Marshall,6,6,0,1364.0,1347.0,113.7,112.3,1,0,5,True,False,False,0,0,0,0,0,2009,Norton,3
5,4,NOT COMING IN LAST!,5,6,1,1299.0,1341.0,108.3,111.8,-3,0,6,True,False,False,0,0,0,0,0,2009,Norton,3
6,8,The Young Duds,4,7,1,1142.0,1206.5,95.2,100.5,-5,0,7,False,False,False,0,0,0,0,0,2009,Norton,3
7,14,My Poop is Ronnie + Brown,6,6,0,1297.0,1264.0,108.1,105.3,2,0,8,False,False,False,0,0,0,0,0,2009,Norton,3
8,22,Onside Dick,5,7,0,1166.5,1169.5,97.2,97.5,0,0,9,False,False,False,0,0,0,0,0,2009,Norton,3
9,16,It Aint Easy Being Cheesy,3,9,0,1088.0,1369.0,90.7,114.1,-23,0,10,False,False,False,0,0,0,0,0,2009,Norton,3
10,8,KC Cheifs superbowlchamps,8,3,1,1341.0,1163.0,111.8,96.9,14,0,1,True,True,True,0,0,0,0,0,2010,Norton,4
11,15,Rodgers On Demand,9,3,0,1206.0,966.5,100.5,80.5,20,0,2,True,True,False,0,0,0,0,0,2010,Norton,4
12,10,. .,7,5,0,1225.5,1155.5,102.1,96.3,5,0,3,True,False,False,0,0,0,0,0,2010,Norton,4
13,1,OPPERATION DOWSCHWITZ,7,5,0,1261.5,1288.5,105.1,107.4,-2,0,4,True,False,False,0,0,0,0,0,2010,Norton,4
14,9,Nuts and Bolts I Got Screwed,6,6,0,1356.0,1289.0,113.0,107.4,5,0,5,True,False,False,0,0,0,0,0,2010,Norton,4
15,14,Tommy Boy,5,6,1,1241.5,1281.5,103.5,106.8,-3,0,6,True,False,False,0,0,0,0,0,2010,Norton,4
16,16,Wilfork You Up,3,9,0,1147.0,1354.5,95.6,112.9,-17,0,7,False,False,False,0,0,0,0,0,2010,Norton,4
17,19,ONE MORE WIN PLZ!!!!,7,5,0,1055.5,1102.0,88.0,91.8,-3,0,8,False,False,False,0,0,0,0,0,2010,Norton,4
18,22,The Race For 4th,4,8,0,1154.5,1183.0,96.2,98.6,-2,0,9,False,False,False,0,0,0,0,0,2010,Norton,4
19,4,99 Problems But AP Ain't one!,3,9,0,1098.0,1303.0,91.5,108.6,-17,0,10,False,False,False,0,0,0,0,0,2010,Norton,4
20,21,the Calvinists,6,6,0,1331.0,1264.0,110.9,105.3,5,0,1,True,True,True,0,0,0,0,0,2011,Norton,5
21,9,It's Tebow Time,9,3,0,1359.0,1192.5,113.3,99.4,13,0,2,True,True,False,0,0,0,0,0,2011,Norton,5
22,14,The Daily Show,8,4,0,1446.0,1291.5,120.5,107.6,12,0,3,True,False,False,0,0,0,0,0,2011,Norton,5
23,15,Rodgers On Demand,9,3,0,1403.5,1212.5,117.0,101.0,15,0,4,True,False,False,0,0,0,0,0,2011,Norton,5
24,10,The Jackson 5,5,7,0,1101.5,1193.0,91.8,99.4,-7,0,5,True,False,False,0,0,0,0,0,2011,Norton,5
25,1,TEAM AMERICA,5,7,0,1248.0,1370.0,104.0,114.2,-10,0,6,True,False,False,0,0,0,0,0,2011,Norton,5
26,22,Play With My Johnson,4,8,0,1190.5,1345.0,99.2,112.1,-12,0,7,False,False,False,0,0,0,0,0,2011,Norton,5
27,8,Run DMC,6,6,0,1228.5,1225.0,102.4,102.1,0,0,8,False,False,False,0,0,0,0,0,2011,Norton,5
28,19,The Gentlemen's Club,5,7,0,1153.5,1270.5,96.1,105.9,-9,0,9,False,False,False,0,0,0,0,0,2011,Norton,5
